alpha,beta,amplitude,period
0.000010,0.000010,0.021436,140.000000
0.000010,0.001000,0.015794,118.800000
0.000010,0.100000,0.009475,87.500000
0.000010,10.000000,0.0,inf
0.000010,1000.000000,0.0,inf
0.001000,0.000010,0.025237,151.333333
0.001000,0.001000,0.006888,192.000000
0.001000,0.100000,0.012427,143.428571
0.001000,10.000000,0.0,inf
0.001000,1000.000000,0.0,inf
0.100000,0.000010,0.014375,100.000000
0.100000,0.001000,0.004585,126.400000
0.100000,0.100000,0.0,inf
0.100000,10.000000,0.0,inf
0.100000,1000.000000,0.0,inf
10.000000,0.000010,0.007427,192.000000
10.000000,0.001000,0.011852,96.500000
10.000000,0.100000,0.010833,161.000000
10.000000,10.000000,0.0,inf
10.000000,1000.000000,0.0,inf
1000.000000,0.000010,0.008316,178.000000
1000.000000,0.001000,0.011064,134.400000
1000.000000,0.100000,0.011090,102.800000
1000.000000,10.000000,0.0,inf
1000.000000,1000.000000,0.0,inf
