population,alpha,beta,amplitude,period
1000,0.010000,100.000000,0.0,-1.0
1000,0.000010,0.100000,0.023052,291.974026
1000,10000.000000,10000.000000,0.0,-1.0
1000,100.000000,1000.000000,0.0,-1.0
1000,0.001000,1000.000000,0.0,-1.0
1000,1000.000000,0.000100,0.005643,323.624454
1000,10000.000000,0.000010,0.019385,339.629310
1000,0.010000,0.001000,0.008045,302.700935
1000,10.000000,0.000100,0.008036,435.855204
1000,10000.000000,10.000000,0.0,-1.0
1000,0.000100,100.000000,0.0,-1.0
1000,0.100000,100.000000,0.0,-1.0
1000,0.000100,1.000000,0.480652,413.875000
1000,0.010000,0.100000,0.074922,599.315789
1000,0.010000,0.000100,0.036347,361.794393
1000,1000.000000,0.010000,0.023719,430.863636
1000,1000.000000,0.100000,0.0,-1.0
1000,10000.000000,100.000000,0.0,-1.0
1000,1.000000,1000.000000,0.0,-1.0
1000,0.010000,1.000000,0.0,-1.0
1000,0.001000,0.000010,0.009307,362.570048
1000,0.001000,0.100000,0.040205,401.638889
1000,100.000000,0.010000,0.012752,418.258065
1000,0.001000,1.000000,0.0,-1.0
1000,10.000000,0.001000,0.013559,284.782222
1000,10000.000000,0.000100,0.008464,303.610860
1000,1000.000000,1000.000000,0.0,-1.0
1000,1000.000000,0.000010,0.004145,238.699552
1000,1.000000,1.000000,0.117767,428.571429
1000,0.001000,10.000000,0.0,-1.0
1000,0.010000,0.010000,0.009928,414.985714
1000,100.000000,1.000000,0.627289,935.000000
1000,10000.000000,0.100000,0.0,-1.0
1000,10000.000000,0.001000,0.007745,306.133333
1000,0.010000,10.000000,0.0,-1.0
1000,1000.000000,100.000000,0.0,-1.0
1000,0.000010,0.000100,0.022668,357.836207
1000,0.000010,0.000010,0.019304,282.000000
1000,0.000100,0.100000,0.030086,315.783784
1000,100.000000,10000.000000,0.0,-1.0
1000,0.000100,10000.000000,0.0,-1.0
1000,10.000000,1.000000,0.0,-1.0
1000,0.000100,0.001000,0.006307,327.019802
1000,100.000000,0.100000,0.046329,602.160000
1000,0.001000,10000.000000,0.0,-1.0
1000,1.000000,0.100000,0.131330,288.820513
1000,0.010000,10000.000000,0.0,-1.0
1000,10.000000,10.000000,0.0,-1.0
1000,0.100000,0.010000,0.011249,351.103030
1000,100.000000,10.000000,0.0,-1.0
1000,1.000000,10000.000000,0.0,-1.0
1000,10.000000,0.010000,0.024507,463.555556
1000,0.100000,1000.000000,0.0,-1.0
1000,10.000000,10000.000000,0.0,-1.0
1000,0.000100,1000.000000,0.0,-1.0
1000,0.000010,1.000000,0.460810,402.533333
1000,0.001000,0.001000,0.006339,328.144796
1000,100.000000,0.000010,0.034987,295.077551
1000,0.010000,1000.000000,0.0,-1.0
1000,0.100000,10.000000,0.0,-1.0
1000,0.100000,10000.000000,0.0,-1.0
1000,1000.000000,1.000000,0.0,-1.0
1000,0.000100,10.000000,0.0,-1.0
1000,0.000100,0.000010,0.008380,280.447154
1000,10.000000,0.100000,0.040563,441.901235
1000,0.000010,1000.000000,0.0,-1.0
1000,0.000100,0.000100,0.011391,311.653680
1000,0.000010,100.000000,0.0,-1.0
1000,0.000100,0.010000,0.013539,322.557823
1000,0.100000,0.001000,0.008872,363.955556
1000,0.000010,10.000000,0.0,-1.0
1000,0.100000,0.000100,0.029662,360.410714
1000,10.000000,1000.000000,0.0,-1.0
1000,0.000010,10000.000000,0.0,-1.0
1000,1.000000,0.001000,0.006931,337.040359
1000,1.000000,0.010000,0.013424,390.953642
1000,100.000000,100.000000,0.0,-1.0
1000,0.100000,0.100000,0.077257,476.720930
1000,100.000000,0.001000,0.012889,345.809524
1000,0.001000,0.000100,0.006260,312.709677
1000,10000.000000,1.000000,0.0,-1.0
1000,10.000000,0.000010,0.028011,295.066667
1000,1.000000,0.000010,0.011924,265.462963
1000,0.100000,0.000010,0.019954,296.090090
1000,0.010000,0.000010,0.022974,298.312236
1000,100.000000,0.000100,0.014522,323.524272
1000,0.000010,0.001000,0.010425,290.382775
1000,0.100000,1.000000,0.0,-1.0
1000,1.000000,0.000100,0.012979,291.758140
1000,0.001000,0.010000,0.009800,424.053333
1000,10000.000000,0.010000,0.009100,301.883871
1000,1000.000000,10.000000,0.0,-1.0
1000,0.001000,100.000000,0.0,-1.0
1000,1000.000000,0.001000,0.008280,327.163462
1000,10000.000000,1000.000000,0.0,-1.0
1000,10.000000,100.000000,0.0,-1.0
1000,1000.000000,10000.000000,0.0,-1.0
1000,0.000010,0.010000,0.016856,366.968153
1000,1.000000,10.000000,0.0,-1.0
